Url,Title,Size,PriceTotal,Price,ExtraCosts,OtherCosts,Deposit,RedemptionAgreement,DateFree,DateFreeTill,OnlineSince,Adress,Details,LookingFor,AmountofIcons,AmountofIconsNeeded,DescriptionRoom,DescriptionLocation,DescriptionLife,description_other
https://www.wg-gesucht.de/wg-zimmer-in-Muenchen-Schwabing-Freimann.11022480.html,Room in a WG of 4 close to Freimann U6,12m²,670€,670€,n.a.,n.a.,n.a.,n.a.,01.07.2024,n.a.,32 Minuten,"Freisinger Landstr. 18
                                                                        

                                    80939 München Schwabing-Freimann","12m²
                                    
                                    Zimmer in 4er WG
4er WG
                                                                                                                        (
                                            
                                            
                                                                                            3
                                                                                                    Männer
                                                                                            
                                            
                                                                                        )
Rauchen nicht erwünscht
gemischte WG, Internationals welcome, inklusive WG
Sprache/n:
                                                                                    

                                                                                                            Englisch,
                                                                                                    


                                                                                                            Spanisch,
                                                                                                    


                                                                                                            Italienisch
","Geschlecht egal
                                        
                                        
                                        
                                        
                                                                                                                                    zwischen 23 und 30 Jahren
",3,n.a.,"The room is furnished with desk, bed and wardrobe.","Very close to the Freimann stop (U6). Buses 181 and N40 are also in walking distance. Aldi, Netto and an Asian market are just a few minutes walk from the WG.","You will be sharing the apartment with me (Italian, 26 yo, currently working as a PhD student) and Yifan and Rui (students from China). Usually during the week I'm at work in Garching, and I come back in the late afternoon. Yifan and Rui are instead more often at home. In general, also during the weekend, there is not much going on in the WG, which is great if you prefer a quiet environment. 

 We are looking for someone who is comfortable with communicating in English but Germans and foreigners are equally welcome.","The kitchen, which is a separate room in the apartment, is equipped with an oven and a fume hood. A cellar is also accessible, in which you will find a washing machine and an area for drying your clothes. Opposite to the street there is a small garden, with a space protected from the rain where you can keep a bicycle. Pets and smoking are not allowed. There will be most likely a deposit to pay, which should roughly correspond to 2 or 3 months of rent (the exact amount will have to be confirmed with the owner). Moving in with your partner is not allowed, the room is rented for one person."
https://www.wg-gesucht.de/wg-zimmer-in-Muenchen-Maxvorstadt.4604402.html,Beste Lage - Zimmer frei bei Studentenverbindung,20m²,350€,350€,n.a.,0€,600€,0€,24.05.2024,n.a.,6 Minuten,"Königinstr. 20
                                                                        

                                    80539 München Maxvorstadt","20m²
                                    
                                    Zimmer in 8er WG
8er WG
                                                                                                                        (
                                            
                                            
                                                                                            5
                                                                                                    Männer
                                                                                            
                                            
                                                                                        )
Bewohneralter: 18 bis 25 Jahre
Rauchen auf dem Balkon erlaubt
Studenten-WG, Verbindung, keine Zweck-WG
Sprache/n:
                                                                                    

                                                                                                            Deutsch
","Mann
                                        
                                        
                                                                                                                                    zwischen 18 und 25 Jahren
",12,n.a.,"Du wirst demnächst Dein Studium an der LMU/TU beginnen, oder bist gerade für Dein Master hierher gekommen? Du bist hoch motiviert und möchtest Dich auch außerhalb deines Studiengangs weiterbilden und -entwickeln um später einmal Großes in Wirtschaft/Politik/Gesellschaft zu erreichen? Trotz allem feierst Du auch gerne mal ausgiebig und bist kein auf den Mund gefallener Langweiler? 

 Dann bist Du in bester Gesellschaft: Wir sind eine akademische Gemeinschaft gegenwärtiger und ehemaliger in Freundschaft verbundener Studenten. Im Gegensatz zu manch anderer Verbindung, sehen sich sogenannte Corps frei von jeglichen politischen, konfessionellen, oder ethnischen Zwängen. Dieser weltmännische Grundgedanke spiegelt sich auch in der internationalen Mitgliederstruktur unserer Gemeinschaft wieder.   

 Wir bieten unseren Mitgliedern ein günstiges und (mehr als) komfortables Studentenleben in Bestlage (U3/U6 Universität), sowie zahlreiche kostenlose Seminare (von Rhetorik über Selbstmanagement, bis hin zu Business English - siehe www.aws-seminare.de ), Veranstaltungen, und unser großes und engagiertes Alumni-Netzwerk. Außerdem bieten sich zahlreiche Möglichkeiten Erfahrungen für das spätere Berufsleben zu sammeln und seine Soft-Skills zu verbessern. 

 Im Gegenzug erwarten wir von Dir jedoch nicht nur überdurchschnittliche Leistung im Studium und eine liberale Grundeinstellung, sondern auch ein gesundes Maß an Einsatzbereitschaft bei der Organisation von zahlreichen gesellschaftlichen und studentischen Veranstaltungen.","Top Lage direkt am Englischen Garten - Zweimal umfallen und man liegt am Eisbach oder mitten auf der Wiese. Fünf Minuten von den Ubahnstationen ""Universtität"" und ""Giselastrasse"" (U3/U6), sowie diversen Busstationen entfernt. Zu Fuss sind es fünf Minuten zur LMU und zur FH und TU brauch man zehn Minuten mit dem Rad.","Wir sind  ein ""Corps"", eine Art von Studentenverbindung, die sich durch ihre unpolitische (!), unkonfessionelle, weltoffene Welteinstellung auszeichnet.  Dieser Grundgedanke spiegelt sich auch in der internationalen Mitgliederstruktur unserer Gemeinschaft von aktuellen und ehemaligen Studenten wieder. 

 Auch für das kommende Semester haben wir wieder ein Zimmer frei und freuen uns über neue Mitglieder. Wir suchen vollimmatrikulierte männliche Studenten einer münchner Hochschule im Alter von 18 bis 24 Jahren 

 - mit einer freiheitlich-demokratischen Grundeinstellung 
 - die erfolgreich studieren wollen 
 - die neben dem Studium Spass daran finden, Traditionen unseres Corps mitzuleben und mit uns auf den Putz zu hauen. 


 Wir bieten: 

 - Hilfestellung im Studium 
 - Ein umfangreiches Alumni-Netzwerk 
 - Diverse Seminare und Fachvorträge, sowie kostenlose Tanz- und Etiketteabende. 
 - Günstiges Zimmer in Bestlage 
 - Spass am Studentenleben in Form von geselligen Veranstaltungen (Partys, Pokerabende etc.) in unserer Villa. Feiern gehen wir auch gern ;)","Da wir besonderen Wert darauf legen, dass wir untereinander auch gut harmonieren, kannst Du Deine evtl. zukünftigen Mitstreiter unter www.corps-saxo-thuringia.de und https://instagram.com/corps_saxo_thuringia schon einmal kennen lernen. Schließlich soll die ganze Geschichte ja auch jedem Spaß machen. Wenn Du dich angesprochen fühlst oder einfach neugierig bist, meld Dich einfach kurz mit einer kreativen E-Mail oder DM."
https://www.wg-gesucht.de/wg-zimmer-in-Muenchen-Moosach.10795254.html,TOP LAGE - U3 Nahe Olympia-Einkaufszentrum,11m²,790€,740€,50€,0€,2200€,0€,24.05.2024,n.a.,37 Minuten,"Seydlitzstraße 63
                                                                        

                                    80993 München Moosach","11m²
                                    
                                    Zimmer in 4er WG
Wohnungsgröße: 59m²
4er WG
                                                                                                                        (
                                                                                            2
                                                                                                    Frauen
                                                                                            
                                                                                            und
                                            
                                                                                            1
                                                                                                    Mann
                                                                                            
                                            
                                                                                        )
Studenten-WG, Berufstätigen-WG, keine Zweck-WG, gemischte WG
","Geschlecht egal
",8,4,"Gemütliches WG Zimmer voll möbliert mit Bett mit Lattenrost und Matratze, Schreibtisch, Stuhl, Schrank. 
 Neuwertiges Badezimmer mit Dusche. 
 Schöne kleine Einbauküche. 
 Inkl. Kellerabteil, sehr gute Parkmöglichkeiten 
 Verfügbar ab sofort 

 Cozy shared room fully furnished with bed with slatted frame and mattress, desk, chair, wardrobe. 
 Bathroom in new condition with shower. 
 Nice small fitted kitchen. 
 Incl. basement compartment, very good parking facilities 
 Available immediately","Sehr gute Lage, Bus-und U-Bahn-Haltestellen nahe gelegen.  
 Olympia-Einkaufszentrum wenige Minuten zu Fuß entfernt. 

 Very good location, bus and metro stops nearby. 
 Olympia shopping center a few minutes walk away.","Gemischte Wohngemeinschaft mit Studenten und Berufstätigen zwischen 18 - 25 Jahren.  

 Mixed shared apartment with students and workers between 18 and 25 years old.",Verfügbar ab sofort.
https://www.wg-gesucht.de/wg-zimmer-in-Muenchen-Schwabing.9873207.html,TOP UNI LOCATION near U3/U6: Münchner Freiheit,14m²,970€,911€,59€,0€,2673€,0€,01.08.2024,n.a.,37 Minuten,"Germaniastraße 3
                                                                        

                                    80802 München Schwabing","14m²
                                    
                                    Zimmer in 5er WG
Wohnungsgröße: 84m²
5er WG
                                                                                                                        (
                                                                                            1
                                                                                                    Frau
                                                                                            
                                                                                            und
                                            
                                                                                            3
                                                                                                    Männer
                                                                                            
                                            
                                                                                        )
Studenten-WG, Berufstätigen-WG, keine Zweck-WG, gemischte WG
","Geschlecht egal
",7,3,"Schlafzimmer ist voll Möbliert (Bett, Schrank, Tisch, Stuhl)! 

 Dieses helle WG-Zimmer befindet sich in unmittelbarer Nähe zur Münchner Freiheit - Traumlage! 

 Das Objekt wurde seit 2022 saniert und ist in einem top Zustand. 

 Im Zuge dessen erfolgte die komplette Erneuerung von Heizung, Sanitär, Elektro, Lüftung, Brandschutz, Böden und Fenstern. 

 Das Badezimmer verfügt über einen Waschmaschinenanschluss, jedoch gibt es im Haus auch eine Waschküche mit münzbetriebenen Waschvollautomaten. 

 Die Wohnung hat eine neue Einbauküche, welche mit allen Elektrogeräten ausgestattet ist. 

 Im Erdgeschoss befindet sich der Fahrradraum. 

 Fußläufig zur Münchner Freiheit haben Sie dort die perfekte Anbindung an den städtischen Nahverkehr (U-Bahn Stationen nur 5min zu Fuß entfernt) und alle Einkaufsmöglichkeiten vor Ort.","Die Wohnung befindet sich in einer spitzen Lage direkt zur Münchner Freiheit. 
 Fußläufig zur Münchner Freiheit haben Sie dort die perfekte Anbindung an den städtischen Nahverkehr (U-Bahn Stationen nur 5min zu Fuß entfernt, ÖPNV 4min zu Fuß) und alle Einkaufsmöglichkeiten vor Ort. 

 Schwabing selbst wurde im 19. Jahrhundert durch seine Literaten und Künstler bekannt. 

 Der Stadtteil genoss damals den Ruf eines Künstlerviertels und auch heute sind Kunst und Kultur immer noch eng mit Schwabing verbunden. 
 Schwabing ist ein höchst begehrter Stadtteil, sowohl für Singles als auch für Familien. Die Nähe zum Englischen Garten sowie zur Leopoldstraße, die optimale Verkehrsanbindung, die Theater und kulturellen Einrichtungen sowie die zahlreichen Einkaufsmöglichkeiten machen Schwabing zu einem der beliebtesten Wohnviertel Münchens. 

 Die von uns angebotene Wohnung befindet sich in der Germaniastrasse in direkter Nähe zur gefragten Leopoldstraße mit diversen Bars und Restaurants. 

 Der beliebte Englische Garten ist ebenfalls in nur wenigen Gehminuten erreichbar.","4 junge Männer Anfang 20 Jahre. 

 Gemeinsam können Sie ein wunderschönes neues Badezimmer sowie eine nagelneue Einbauküche nutzen und eine schöne Zeit am Balkon verbringen.","Bitte kontaktieren Sie uns über WG-Gesucht. 
 Gern vereinbaren wir einen Besichtigungstermin mit Ihnen vor Ort."
https://www.wg-gesucht.de/wg-zimmer-in-Muenchen-Obergiesing-Fasangarten.10995347.html,+++ WG-Zimmer in renovierter 4er WG verfügbar!!! +++,14m²,800€,715€,85€,0€,2145€,0€,01.07.2024,n.a.,39 Minuten,"Schlierseestraße 14
                                                                        

                                    81541 München Obergiesing-Fasangarten","14m²
                                    
                                    Zimmer in 4er WG
4er WG
Studenten-WG, Frauen-WG, Berufstätigen-WG, keine Zweck-WG, gemischte WG
Sprache/n:
                                                                                    

                                                                                                            Deutsch,
                                                                                                    


                                                                                                            Englisch
","Geschlecht egal
",12,5,"Wunderschönes Zimmer in 4er WG ab dem 01.07.2024 verfügbar! 

 Zimmer 2: 14qm für 715€ + 85€ 

 Key facts: 
 - Top renoviertes Badezimmer mit Dusche 
 • Hochwertige Einbauküche samt Elektrogeräten steht jedem Bewohner zur Verfügung. Die Küche bietet folgende Elektrogeräte: Kühlschrank mit Gefrierfach, Herd, Ofen und Spülmaschine. 
 • Aufwendige Renovierung 2023 
 • Teilmöblierte Zimmer, sie beinhalten: Bett, Kleiderschrank, Schreibtisch, Stuhl und Spiegel (siehe Bilder)","Die Schlierseestraße 14 liegt in einer attraktiven Wohngegend im Südosten von München und bietet eine gute Anbindung an das öffentliche Verkehrsnetz der Stadt. 

 Die nächstgelegene U-Bahn-Station ist die ""Wettersteinplatz"" der Linie U1, die nur einen kurzen Spaziergang von der Adresse entfernt liegt. Die U-Bahn-Linie U1 verläuft durch das Stadtzentrum und bietet eine schnelle Verbindung zu wichtigen Zielen wie dem Marienplatz, dem Hauptbahnhof und dem Olympiapark. Die Nähe zur U-Bahn-Station macht die Schlierseestraße 14 zu einem idealen Wohnort für Pendler und Stadtbewohner, die Wert auf eine gute Anbindung an den öffentlichen Nahverkehr legen. 

 Zusätzlich zur U-Bahn gibt es in der Nähe der Adresse verschiedene Buslinien, darunter die Linien 54 und 145, die zusätzliche Verbindungen zu anderen Teilen der Stadt bieten. Diese Busse bieten Bewohnern eine weitere Option, um sich in München fortzubewegen und verschiedene Ziele zu erreichen. 

 Die Schlierseestraße selbst ist eine ruhige Wohnstraße mit einer angenehmen Atmosphäre. Die Umgebung bietet eine gute Auswahl an Geschäften, Restaurants und anderen Annehmlichkeiten, die den Bewohnern eine bequeme Lebensqualität bieten. 

 Insgesamt bietet die Schlierseestraße 14 eine erstklassige Lage mit einer guten Anbindung an das öffentliche Verkehrsnetz, was sie zu einem attraktiven Wohnort in München macht, der sowohl für Pendler als auch für Familien geeignet ist.","Willkommen in unserer charmanten WG in München! Hier erwartet dich mehr als nur ein Zimmer - hier findest du ein Zuhause, in dem Gemeinschaft großgeschrieben wird und das WG-Leben zu einem unvergesslichen Erlebnis macht. 

 Wir legen Wert auf ein respektvolles Miteinander und gegenseitige Unterstützung. Egal, ob es darum geht, bei der Bewältigung des Alltags zu helfen oder einfach nur jemanden zum Reden zu haben - in unserer WG stehen wir füreinander ein. 

 Wenn du nach einem Ort suchst, an dem du nicht nur wohnen, sondern leben kannst, dann bist du bei uns genau richtig. Komm vorbei und entdecke, wie angenehm das WG-Leben sein kann!","Link zum Wohnungs-Bewerbungsformular (Aplication Form): 
 https://wkf.ms/3t1LAXt 

 Alle Angaben ohne Gewähr. Bei Interesse bitten wir um schriftliche Kontaktaufnahme. 

 Sollte es zum Mietvertrag kommen, gibt es je Zimmer einen eigenständigen Mietvertrag. 

 Folgende Unterlagen werden benötigt und sind bitte vor einer Besichtigung auf unserem Portal hochzuladen: 

 • Gehaltsnachweis 
 • Mieterselbstauskunft (erhaltet Ihr von uns) 
 • ggf. Bürgschaft (wenn kein eigenes Einkommen vorhanden ist) 
 • Einkommensnachweis"
https://www.wg-gesucht.de/wg-zimmer-in-Muenchen-Schwabing-Freimann.9330148.html,"WG-Zimmer - zentrumsnah mit Balkon, Terrassen- und Gartenmitbenutzung",23m²,1050€,950€,100€,n.a.,1900€,n.a.,24.05.2024,n.a.,39 Minuten,"Mohrstraße 13
                                                                        

                                    80939 München Schwabing-Freimann","23m²
                                    
                                    Zimmer in 6er WG
Wohnungsgröße: 220m²
6er WG
                                                                                                                        (
                                                                                            1
                                                                                                    Frau
                                                                                            
                                                                                            und
                                            
                                                                                            4
                                                                                                    Männer
                                                                                            
                                            
                                                                                        )
Bewohneralter: 19 bis 28 Jahre
keine Zweck-WG, gemischte WG
","Geschlecht egal
",12,5,"Bitte beachte: Nur noch WG- Zimmer Nr. 6 verfügbar !!! Zimmer 1-5 sind bereits vermietet! 

 Vermietung einer 6-er WG in einem freistehenden Haus mit Terrassen- und Gartenmitbenutzung im zentrumsnahen Schwabing-Freimann! 
 Die Zimmer haben eine Größe zwischen 12qm (dazugehörigem Bad von 6qm) und 23qm (dazugehöriger Balkon  
 von ca. 9qm). 
 Der Wohnbereich ist behinderten- und das Erdgeschoss rollstuhlgerecht. 
 Die Zimmer sind hell und  haben jeweils einen Balkon. Den Zimmern im Erdgeschoss sind teilweise eigene Bäder 
 zugeteilt. Die Küche, sowie der Wohnbereich sind bereits möbliert. 

 Wir freuen uns auf Eure Anfrage!","Nur jeweils 5 Fahrminuten vom Englischen Garten und der Allianz Arena entfernt. 
 Lebensmittelgeschäfte, sowie die U-Bahn-Haltestelle Freimann, von der aus man in gut 10 Minuten an den Marienplatz gelangt, sind fußläufig erreichbar.",n.a.,n.a.
https://www.wg-gesucht.de/wg-zimmer-in-Muenchen-Aubing-Lochhausen-Langwied.10461331.html,WG im Grünen,12m²,599€,500€,99€,n.a.,1000€,n.a.,01.06.2024,n.a.,41 Minuten,"Kallenbergstr. 28
                                                                        

                                    81245 München Aubing-Lochhausen-Langwied","12m²
                                    
                                    Zimmer in 14er WG
Wohnungsgröße: 150m²
14er WG
                                                                                                                        (
                                                                                            5
                                                                                                    Frauen
                                                                                            
                                                                                            und
                                            
                                                                                            8
                                                                                                    Männer
                                                                                            
                                            
                                                                                        )
Bewohneralter: 18 bis 35 Jahre
Rauchen nicht erwünscht
Studenten-WG, gemischte WG
Sprache/n:
                                                                                    

                                                                                                            Deutsch,
                                                                                                    


                                                                                                            Englisch
","Geschlecht egal
                                        
                                        
                                        
                                        
                                                                                                                                    zwischen 17 und 45 Jahren
",10,n.a.,Top renoviert. Eigener großer Kühlschrank im Zimmer mit Gefrierfach.,n.a.,n.a.,Anmeldung ist nicht möglich.
https://www.wg-gesucht.de/wg-zimmer-in-Muenchen-Untergiesing-Harlaching.10209578.html,TOP LAGE - schönes WG Zimmer im Altbau direkt am Candidplatz,16m²,930€,850€,80€,0€,2550€,0€,01.08.2024,n.a.,41 Minuten,"Pilgersheimer Straße 60
                                                                        

                                    81543 München Untergiesing-Harlaching","16m²
                                    
                                    Zimmer in 5er WG
Wohnungsgröße: 150m²
5er WG
Bewohneralter: 17 bis 29 Jahre
gemischte WG
","Geschlecht egal
",6,3,"Frisch sanierte Wohnung mit schönen neuen Böden und möblierten Zimmern. 

 Großes 16m2 Zimmer mit neuen Böden, voll möbliert mit Bett, Schrank, Tisch, Stuhl. 
 Küche mit Geschirrspüler, Bad  




 Freshly renovated appartment with beautiful floors and furnished rooms. 

 Large 16m2 room with new floors, fully furnished with bed, wardrobe, table, chair. 
 Kitchen with dishwasher, bathroom with washing machine","SPITZENLAGE - direkt am Odeonsplatz. Alle Infrastruktur bzw. ÖPNV Verbindungen direkt vor der Haustür. Die 
 UBahn, SBahn sowie diverse Busse fahren direkt am Platz weg wodurch man eine wunderbare Anbindung hat. 
 Dort befinden sich diverse Lokale, Cafés und Restaurants - alles binnen wenigen Minuten fußläufig erreichbar. 



 TOP LOCATION - right on Odeonsplatz. All infrastructure and public transport connections right on the doorstep. The U-Bahn, S-Bahn and various buses run directly from the square, which gives you a wonderful connection. 
 There are various pubs, cafés and restaurants - all within a few minutes walking distance.","WG - Neugründung 

 New shared flat","Zimmer frei ab sofort 


 Rooms are available immediately"
https://www.wg-gesucht.de/wg-zimmer-in-Muenchen-Giesing.10278173.html,ERSTBEZUG - FIRST OCCUPANCY Giesing,10m²,790€,750€,40€,n.a.,2250€,0€,21.06.2024,n.a.,42 Minuten,"Giesingerbahnhofplatz 4
                                                                        

                                    81539 München Giesing","10m²
                                    
                                    Zimmer in 4er WG
Wohnungsgröße: 85m²
4er WG
Bewohneralter: 19 bis 27 Jahre
Studenten-WG, gemischte WG
","Geschlecht egal
",4,3,"Kleines aber feines Zimmer in einer frisch sanierten, hellen Wohnung in Giesing. Das Zimmer kommt möbliert mit Schrank, Bett, Schreibtisch und Bürostuhl. 



 Small but nice room in a freshly renovated, bright apartment in Giesing. The room comes furnished with wardrobe, bed, desk and office chair.","Die Wohnung liegt in an bester Infrastruktur, man ist schnell in der Stadt. In unmittelbarer Nähe befinden sich Supermärkte, öffentliche Verkehrsmittel und verschiedenste Geschäfte. 


 The apartment is located in a place with very good infrastructure and you are quickly in the city. In the immediate vicinity are supermarkets, public transport and various stores.",n.a.,n.a.
https://www.wg-gesucht.de/wg-zimmer-in-Muenchen-Altstadt-Lehel.9942421.html,"Premiumlage LEHEL: 4er WG – ***150 m zum Englischer Garten, 500 m zur Eisbachwelle, 100 m zur Isar - ***",17m²,1100€,1005€,85€,10€,1900€,n.a.,01.09.2024,n.a.,43 Minuten,"Rosenbuschstr. 2
                                                                        

                                    80538 München Altstadt-Lehel","17m²
                                    
                                    Zimmer in 4er WG
Wohnungsgröße: 93m²
4er WG
                                                                                                                        (
                                                                                            2
                                                                                                    Frauen
                                                                                            
                                                                                            und
                                            
                                                                                            1
                                                                                                    Mann
                                                                                            
                                            
                                                                                        )
Bewohneralter: 18 bis 30 Jahre
Rauchen auf dem Balkon erlaubt
Studenten-WG, Berufstätigen-WG, keine Zweck-WG, gemischte WG, LGBTQIA+, Internationals welcome, WG-Neugründung
Sprache/n:
                                                                                    

                                                                                                            Deutsch,
                                                                                                    


                                                                                                            Englisch,
                                                                                                    


                                                                                                            Spanisch
","Geschlecht egal
                                        
                                        
                                        
                                        
                                                                                                                                    zwischen 18 und 31 Jahren
",11,n.a.,"Die angebotene WG ist aufgrund ihrer ausgezeichneten Lage,  
 mitten im angesagten Stadtviertel Altstadt-Lehel in München, eine Rarität auf dem Münchner Immobilienmarkt. 

 Die WG befindet sich im Herzen von München und ist nur wenige Gehminuten von zahlreichen Sehenswürdigkeiten entfernt, darunter der Englische Garten (150 m entfernt),  die Eisbachwelle (500m entfernt), die Isar (100m), der Odeonsplatz, Marienplatz, die Maximilianstraße, Haus der Kunst, Deutsche Museum, etc. 

 Durch ihre vier lichtdurchfluteten und ansprechenden Zimmer, welche mit Echtholz-Parkettböden ausgestattet sind, ist eines dieser Zimmer bietet sogar Zugang zu einem großzügigen Südbalkon. Zudem gibt es ein geräumiges Badezimmer in der Wohnung, das mit einem separaten WC ausgestattet ist. 

 Die angebotene WG befindet sich in einem Mehrfamilienhaus und ist bequem per Aufzug erreichbar.  

 Ein Einzug ist zum 1.09.2024 
 Bitte beachten Sie, dass Anfragen für zukünftige Zeitpunkte derzeit nicht bearbeitet werden können. 

 Mindestmietdauer 12 Monate, Langzeitmieter sind gern gesehen. 


 Weitere Highlights: 
 *Top-ausgestattete Gemeinschaftsküche 
 *Großer Kühlschrank, Spülmaschine, Backofen 
 *Hochwertiges Geschirr, Besteck und Töpfe 
 *Waschmaschine in der Wohnung 
 *Großzügiges Bad mit separatem WC 
 *Möblierte Zimmer: Bett, Schrank, Schreibtisch, Stuhl, Teppich und Spiegel (siehe Bilder) 
 *Die Wohnung befindet sich im 4. Stock mit Aufzug 
 *Fahrradkeller","Highlights: Premium-Lage Lehel 

 Vor der Tür: 

 *Der Stadtteil Lehel ist hervorragend an das öffentliche Verkehrsnetz angebunden: 250 m zur nächsten Haltestelle. 
 *Hohe Lebensqualität: Eisbachwelle und Englischer Garten (100 m) 
 *Ausgezeichnete Einkaufsmöglichkeiten: Supermärkte, darunter Edeka und Rewe, um die Ecke. 
 *Hohe Lebensqualität 
 *Breites kulturelles Angebot: Haus der Kunst, Deutsches Museum, Kino, Theater, Konzerte, etc. 
 *Charmantes Wohnviertel – geprägt von einladenden Cafés, ausgezeichneten Restaurants und attraktiven Geschäften 
 *Diverse Fitnessstudios 
 *In unmittelbarer Nähe befinden sich eine Vielzahl erstklassiger Arbeitgeber mit zahlreichen Arbeitsplätzen. 

 Es ist alles da – und alles ist nah.","Für Neu-Münchner bietet die Gründung einer WG eine hervorragende Gelegenheit, um neue Kontakte zu knüpfen und Anschluss zu finden. Als Vermieter ist uns ein respektvoller Umgang mit den Mitbewohnern sowie der frisch renovierten Wohnung äußerst wichtig. 

 Unsere Erfahrung zeigt, dass das Zusammenleben in unseren WG's sehr einfach verläuft und ein harmonisches Miteinander entsteht. 

 Die Wohnung hat vier super aufgeteilte Zimmer: 
 1x 14m² 
 2x 15m²  
 1x 14 m² + 11 m² Südbalkon  
 Gesamtgröße der WG ca. 93m² 

 Strom ist in den Nebenkosten inklusive. 
 Das Internet ist eingerichtet und kostet pro Bewohner 10,- Euro. GEZ muss durch die Mieter gezahlt werden.","Jedem Zimmer wird bei Abschluss des Mietvertrags ein eigenständiger Mietvertrag zugewiesen.  

 Zur Vervollständigung des Mietantrags benötigen wir folgende Unterlagen: 
 - Gehaltsnachweis 
 - Arbeitsvertrag 
 - Mieterselbstauskunft 
 - gegebenenfalls eine Bürgschaft (für den Fall, dass kein eigenes Einkommen vorhanden ist) 
 - Einkommensnachweis 

 Schreiben Sie uns jetzt eine Nachricht. 

 Wir bitten aufgrund der hohen Anzahl von Anfragen um schriftliche Kontaktaufnahme. Leider können wir derzeit keine telefonischen Auskünfte bearbeiten und bitten um Verständnis."
